student_id,name,email,password,phone
08230103,Birkha Maya Rai,student1@college.edu,password123,58392014
08230107,Chimi Wangmo,student2@college.edu,password123,90214577
08230115,Deki Tshomo,student3@college.edu,password123,44792106
08230116,Dema Lhamo,student4@college.edu,password123,31987540
08230121,Dorji Selden,student5@college.edu,password123,72039481
08230123,Dorji Wangmo,student6@college.edu,password123,56483029
08230129,Jamyang Choden,student7@college.edu,password123,12847095
08230132,Jigme Tenzin,student8@college.edu,password123,93058217
08230135,Karma Dema,student9@college.edu,password123,61052984
08230139,Karma Chimi Rinzin,student10@college.edu,password123,28471590
08230142,Kencho Zam,student11@college.edu,password123,74932018
08230145,Kinga Yangchen,student12@college.edu,password123,83041729
08230148,Kinzang Choden,student13@college.edu,password123,59280311
08230150,Kuenga Wangmo,student14@college.edu,password123,17584062
08230154,Lekzin Cheki Wangmo,student15@college.edu,password123,98132740
08230156,Namgay Pem,student16@college.edu,password123,24671085
08230158,Namgay Wangchuk,student17@college.edu,password123,90543128
08230167,Pema Gyelmo,student18@college.edu,password123,13790548
08230170,Pema Wangchuk,student19@college.edu,password123,68413092
08230177,Rinchen Dema,student20@college.edu,password123,71059842
08230182,Rinzin Wangmo,student21@college.edu,password123,42861390
08230185,Sangay Rinchen,student22@college.edu,password123,50328971
08230187,Sangay Wangmo,student23@college.edu,password123,37415980
08230188,Sangay Namling Yoezer,student24@college.edu,password123,89627401
08230191,Sonam,student25@college.edu,password123,72150894
08230193,Sonam Choden,student26@college.edu,password123,65210837
08230194,Sonam Pem,student27@college.edu,password123,91820457
08230198,Sonam Phuntsho,student28@college.edu,password123,45872016
08230208,Tandin Wangmo,student29@college.edu,password123,90281745
08230215,Tenzin Lhaden,student30@college.edu,password123,31750986
08230220,Tshering Choden,student31@college.edu,password123,78012459
08230223,Tshering Gyelpo,student32@college.edu,password123,64298130
08230228,Tshering Zangmo,student33@college.edu,password123,53980217
08230234,Ugyen Yangzom,student34@college.edu,password123,86429031
